,FPR,TPR,FNR,TNR
0,0.197564618,0.676327832,0.323672168,0.802435382
1,0.182630672,0.65316877,0.34683123,0.817369328
2,0.214152786,0.69504923,0.30495077,0.785847214
3,0.189500287,0.66620441,0.33379559,0.810499713
4,0.217070649,0.70392456,0.29607544,0.782929351
5,0.196071223,0.674247677,0.325752323,0.803928777
6,0.18097645,0.645541534,0.354458466,0.81902355
7,0.164801838,0.618499515,0.381500485,0.835198162
8,0.162963814,0.618776869,0.381223131,0.837036186
9,0.189316485,0.661212037,0.338787963,0.810683515
0,0.184330844,0.64942449,0.35057551,0.815669156
1,0.198345778,0.676189155,0.323810845,0.801654222
2,0.188581275,0.665511025,0.334488975,0.811418725
3,0.207122343,0.689779504,0.310220496,0.792877657
4,0.181757611,0.646234919,0.353765081,0.818242389
5,0.1638139,0.615864651,0.384135349,0.8361861
6,0.216427341,0.706559423,0.293440577,0.783572659
7,0.211188972,0.694771876,0.305228124,0.788811028
8,0.197036186,0.679794758,0.320205242,0.802963814
9,0.213785181,0.700873665,0.299126335,0.786214819
0,0.239747272,0.734572181,0.265427819,0.760252728
1,0.16307869,0.615864651,0.384135349,0.83692131
2,0.214313613,0.699348218,0.300651782,0.785686387
3,0.173854107,0.635418111,0.364581889,0.826145893
4,0.159448593,0.608792123,0.391207877,0.840551407
5,0.208156232,0.694771876,0.305228124,0.791843768
6,0.191223435,0.66107336,0.33892664,0.808776565
7,0.218334291,0.704063237,0.295936763,0.781665709
8,0.164411258,0.617251421,0.382748579,0.835588742
9,0.17677197,0.641658577,0.358341423,0.82322803
0,0.207099368,0.690195535,0.309804465,0.792900632
1,0.198345778,0.680904174,0.319095826,0.801654222
2,0.187846065,0.657606435,0.342393565,0.812153935
3,0.176932797,0.642074608,0.357925392,0.823067203
4,0.188144744,0.664678963,0.335321037,0.811855256
5,0.214933946,0.69879351,0.30120649,0.785066054
6,0.180838599,0.651365969,0.348634031,0.819161401
7,0.151545089,0.595756483,0.404243517,0.848454911
8,0.163308443,0.615725974,0.384274026,0.836691557
9,0.166203331,0.629177645,0.370822355,0.833796669
0,0.162596209,0.621827763,0.378172237,0.837403791
1,0.177070649,0.644432118,0.355567882,0.822929351
2,0.207926479,0.694771876,0.305228124,0.792073521
3,0.208523837,0.691859659,0.308140341,0.791476163
4,0.181734635,0.648453751,0.351546249,0.818265365
5,0.176427341,0.638330329,0.361669671,0.823572659
6,0.163653073,0.618083484,0.381916516,0.836346927
7,0.154049397,0.600055471,0.399944529,0.845950603
8,0.185387708,0.65829982,0.34170018,0.814612292
9,0.169236071,0.623491887,0.376508113,0.830763929
