,FPR,TPR,FNR,TNR
0,0.1877771396,0.6616280682,0.3383719318,0.8122228604
1,0.2188627226,0.7089169325,0.2910830675,0.7811372774
2,0.2170936244,0.7107197337,0.2892802663,0.7829063756
3,0.1684778863,0.6270974899,0.3729025101,0.8315221137
4,0.1565077542,0.6044931355,0.3955068645,0.8434922458
5,0.2064560597,0.6933851061,0.3066148939,0.7935439403
6,0.1925100517,0.6723061989,0.3276938011,0.8074899483
7,0.1834807582,0.6540008321,0.3459991679,0.8165192418
8,0.2154394026,0.7040632367,0.2959367633,0.7845605974
9,0.2050775416,0.6901955346,0.3098044654,0.7949224584
0,0.2003446295,0.6789626959,0.3210373041,0.7996553705
1,0.2005054566,0.68243,0.3175703786,0.7994945434
2,0.2291556577,0.7230619886,0.2769380114,0.7708443423
3,0.2085927628,0.6935237831,0.3064762169,0.7914072372
4,0.1965307295,0.6677298572,0.3322701428,0.8034692705
5,0.1794830557,0.6466509499,0.3533490501,0.8205169443
6,0.1756232051,0.640549161,0.359450839,0.8243767949
7,0.1687535899,0.6311191236,0.3688808764,0.8312464101
8,0.2034692705,0.6803494661,0.3196505339,0.7965307295
9,0.1871797817,0.6574677576,0.3425322424,0.8128202183
10,0.1919816198,0.6655110248,0.3344889752,0.8080183802
11,0.2023664561,0.6809041742,0.3190958258,0.7976335439
12,0.2161286617,0.7000416031,0.2999583969,0.7838713383
13,0.1594715681,0.6139231729,0.3860768271,0.8405284319
14,0.2076048248,0.6914436278,0.3085563722,0.7923951752
15,0.2046869615,0.6900568576,0.3099431424,0.7953130385
16,0.2026421597,0.6828456525,0.3171543475,0.7973578403
17,0.1935669156,0.6685619193,0.3314380807,0.8064330844
18,0.1673061459,0.6250173346,0.3749826654,0.8326938541
19,0.1779666858,0.640549161,0.359450839,0.8220333142
0,0.200758185,0.6840937457,0.3159062543,0.799241815
1,0.1939574957,0.6710581057,0.3289418943,0.8060425043
2,0.2278460655,0.7162668146,0.2837331854,0.7721539345
3,0.1710740953,0.628762,0.3712383858,0.8289259047
4,0.1829063756,0.6545555401,0.3454444599,0.8170936244
5,0.205560023,0.6915823048,0.3084176952,0.794439977
6,0.178587019,0.6441547636,0.3558452364,0.821412981
7,0.1989201608,0.6761891555,0.3238108445,0.8010798392
8,0.198322803,0.6807654972,0.3192345028,0.801677197
9,0.1916369902,0.6709194287,0.3290805713,0.8083630098
10,0.2282596209,0.7226459576,0.2773540424,0.7717403791
11,0.1778747846,0.6436000555,0.3563999445,0.8221252154
12,0.1736473291,0.6325058938,0.3674941062,0.8263526709
13,0.1835956347,0.6549715712,0.3450284288,0.8164043653
14,0.1860999426,0.6573290806,0.3426709194,0.8139000574
15,0.2192303274,0.7075301623,0.2924698377,0.7807696726
16,0.2020677771,0.6832616835,0.3167383165,0.7979322229
17,0.2042963814,0.6853418389,0.3146581611,0.7957036186
18,0.170821367,0.6319511857,0.3680488143,0.829178633
19,0.1859391155,0.6635695465,0.3364304535,0.8140608845
