,FPR,TPR,FNR,TNR
0,0.06272591962577079,0.4248265227447957,0.5751734772552043,0.9372740803742292
1,0.05570912183712524,0.40786430223592907,0.5921356977640709,0.9442908781628747
2,0.046566021688284075,0.3716268311488049,0.6283731688511951,0.953433978311716
3,0.055071231129066554,0.3847340015420201,0.6152659984579799,0.9449287688709335
4,0.060386987029555604,0.4016962220508866,0.5983037779491134,0.9396130129704444
5,0.04380182862002977,0.35466461063993837,0.6453353893600616,0.9561981713799702
6,0.0425260472039124,0.3631457208943716,0.6368542791056284,0.9574739527960876
7,0.04273867743993196,0.35543562066306866,0.6445643793369313,0.957261322560068
8,0.04103763555177546,0.3515805705474171,0.6484194294525829,0.9589623644482246
9,0.04571550074420583,0.35774865073245954,0.6422513492675405,0.9542844992557942
10,0.04954284499255794,0.3831919814957594,0.6168080185042406,0.9504571550074421
11,0.03529661917924729,0.32228218966846567,0.6777178103315343,0.9647033808207527
12,0.04996810546459707,0.37702390131071706,0.6229760986892829,0.9500318945354029
13,0.0452902402721667,0.361603700848111,0.638396299151889,0.9547097597278333
14,0.03317031681905167,0.3176561295296839,0.6823438704703161,0.9668296831809483
15,0.04316393791197108,0.3631457208943716,0.6368542791056284,0.956836062088029
16,0.08313842228364873,0.4579799537393986,0.5420200462606014,0.9168615777163512
17,0.05379544971294918,0.40092521202775633,0.5990747879722437,0.9462045502870509
18,0.03933659366361897,0.34618350038550505,0.653816499614495,0.960663406336381
19,0.051881777588773124,0.3839629915188898,0.6160370084811102,0.9481182224112269
20,0.038060812247501595,0.34387047031611406,0.6561295296838859,0.9619391877524984
21,0.03891133319157984,0.3292212798766384,0.6707787201233616,0.9610886668084202
22,0.043376568147990645,0.3608326908249807,0.6391673091750193,0.9566234318520094
23,0.046566021688284075,0.3808789514263685,0.6191210485736315,0.953433978311716
24,0.05358281947692962,0.392444101773323,0.607555898226677,0.9464171805230703
25,0.02764193068254306,0.26985350809560527,0.7301464919043947,0.9723580693174569
26,0.04146289602381459,0.3400154202004626,0.6599845797995374,0.9585371039761854
27,0.06442696151392728,0.42097147262914414,0.5790285273708559,0.9355730384860728
28,0.04188815649585371,0.34464148033924435,0.6553585196607556,0.9581118435041462
29,0.042313416967892835,0.34541249036237476,0.6545875096376252,0.9576865830321072
30,0.05358281947692962,0.38936006168080184,0.6106399383191982,0.9464171805230703
31,0.05166914735275356,0.3816499614494988,0.6183500385505012,0.9483308526472465
32,0.05273229853285137,0.40092521202775633,0.5990747879722437,0.9472677014671487
33,0.035934509887305975,0.3215111796453354,0.6784888203546646,0.964065490112694
34,0.048692324048479695,0.3801079414032382,0.6198920585967618,0.9513076759515203
35,0.043376568147990645,0.3600616808018504,0.6399383191981496,0.9566234318520094
36,0.05251966829683181,0.3909020817270624,0.6090979182729376,0.9474803317031681
37,0.03657240059536466,0.330763299922899,0.669236700077101,0.9634275994046353
38,0.04741654263236232,0.36931380107941403,0.630686198920586,0.9525834573676377
39,0.05103125664469488,0.3801079414032382,0.6198920585967618,0.9489687433553051
40,0.04273867743993196,0.3531225905936777,0.6468774094063223,0.957261322560068
41,0.048054433340421004,0.3754818812644565,0.6245181187355435,0.951945566659579
42,0.06463959174994684,0.4140323824209715,0.5859676175790285,0.9353604082500532
43,0.04635339145226451,0.36777178103315344,0.6322282189668466,0.9536466085477355
44,0.04316393791197108,0.3523515805705474,0.6476484194294526,0.956836062088029
45,0.058260684669359984,0.394757131842714,0.605242868157286,0.94173931533064
46,0.04103763555177546,0.3407864302235929,0.6592135697764071,0.9589623644482246
47,0.03742292153944291,0.33384734001542016,0.6661526599845798,0.9625770784605571
48,0.04273867743993196,0.3631457208943716,0.6368542791056284,0.957261322560068
49,0.05039336593663619,0.3847340015420201,0.6152659984579799,0.9496066340633638
