,FPR,TPR,FNR,TNR
0,0.139458894,0.817813765,0.182186235,0.860541106
1,0.145863286,0.807692308,0.192307692,0.854136714
2,0.14547118,0.818825911,0.181174089,0.85452882
3,0.117762384,0.760121457,0.239878543,0.882237616
4,0.166775585,0.844129555,0.155870445,0.833224415
5,0.144817671,0.817813765,0.182186235,0.855182329
6,0.142334335,0.814777328,0.185222672,0.857665665
7,0.155665926,0.829959514,0.170040486,0.844334074
8,0.110443079,0.743927126,0.256072874,0.889556921
9,0.155665926,0.837044534,0.162955466,0.844334074
10,0.154751013,0.835020243,0.164979757,0.845248987
11,0.126127304,0.772267206,0.227732794,0.873872696
12,0.139066789,0.795546559,0.204453441,0.860933211
13,0.136714155,0.795546559,0.204453441,0.863285845
14,0.131093975,0.78340081,0.21659919,0.868906025
15,0.15945628,0.83805668,0.16194332,0.84054372
16,0.111357992,0.754048583,0.245951417,0.888642008
17,0.125735198,0.76417004,0.23582996,0.874264802
18,0.16363874,0.839068826,0.160931174,0.83636126
19,0.167036989,0.837044534,0.162955466,0.832963011
20,0.153182591,0.8451417,0.1548583,0.846817409
21,0.154228205,0.831983806,0.168016194,0.845771795
22,0.124297477,0.777327935,0.222672065,0.875702523
23,0.126258005,0.775303644,0.224696356,0.873741995
24,0.138674683,0.806680162,0.193319838,0.861325317
25,0.185596654,0.860323887,0.139676113,0.814403346
26,0.171611554,0.8451417,0.1548583,0.828388446
27,0.125081689,0.777327935,0.222672065,0.874918311
28,0.117239577,0.761133603,0.238866397,0.882760423
29,0.131355378,0.796558704,0.203441296,0.868644622
30,0.133054503,0.801619433,0.198380567,0.866945497
31,0.14612469,0.805668016,0.194331984,0.85387531
32,0.135537838,0.784412955,0.215587045,0.864462162
33,0.119722912,0.758097166,0.241902834,0.880277088
34,0.153705398,0.824898785,0.175101215,0.846294602
35,0.126911515,0.776315789,0.223684211,0.873088485
36,0.1538361,0.831983806,0.168016194,0.8461639
37,0.107044831,0.733805668,0.266194332,0.892955169
38,0.126519409,0.759109312,0.240890688,0.873480591
39,0.128479937,0.787449393,0.212550607,0.871520063
40,0.15736505,0.821862348,0.178137652,0.84263495
41,0.14403346,0.810728745,0.189271255,0.85596654
42,0.12939485,0.780364372,0.219635628,0.87060515
43,0.130701869,0.802631579,0.197368421,0.869298131
44,0.123643968,0.771255061,0.228744939,0.876356032
45,0.176708927,0.857287449,0.142712551,0.823291073
46,0.151875572,0.817813765,0.182186235,0.848124428
47,0.13423082,0.79757085,0.20242915,0.86576918
48,0.149784342,0.822874494,0.177125506,0.850215658
49,0.154620311,0.825910931,0.174089069,0.845379689
0,0.186642269,0.868421053,0.131578947,0.813357731
1,0.144425565,0.812753036,0.187246964,0.855574435
2,0.136452751,0.792510121,0.207489879,0.863547249
3,0.136452751,0.795546559,0.204453441,0.863547249
4,0.138936087,0.796558704,0.203441296,0.861063913
5,0.184551039,0.852226721,0.147773279,0.815448961
6,0.129656254,0.785425101,0.214574899,0.870343746
7,0.209253692,0.872469636,0.127530364,0.790746308
8,0.131616782,0.792510121,0.207489879,0.868383218
9,0.114625539,0.768218623,0.231781377,0.885374461
10,0.142857143,0.812753036,0.187246964,0.857142857
11,0.107567638,0.747975709,0.252024291,0.892432362
12,0.159848386,0.837044534,0.162955466,0.840151614
13,0.122859757,0.768218623,0.231781377,0.877140243
14,0.117108875,0.770242915,0.229757085,0.882891125
15,0.130179062,0.79757085,0.20242915,0.869820938
16,0.140504509,0.795546559,0.204453441,0.859495491
17,0.175009803,0.854251012,0.145748988,0.824990197
18,0.160632597,0.840080972,0.159919028,0.839367403
19,0.120507123,0.774291498,0.225708502,0.879492877
20,0.104300091,0.732793522,0.267206478,0.895699909
21,0.154358907,0.835020243,0.164979757,0.845641093
22,0.147170305,0.821862348,0.178137652,0.852829695
23,0.146647497,0.811740891,0.188259109,0.853352503
24,0.198666841,0.877530364,0.122469636,0.801333159
25,0.168605411,0.841093117,0.158906883,0.831394589
26,0.126258005,0.781376518,0.218623482,0.873741995
27,0.134100118,0.793522267,0.206477733,0.865899882
28,0.132531695,0.78340081,0.21659919,0.867468305
29,0.143249248,0.803643725,0.196356275,0.856750752
30,0.110835185,0.728744939,0.271255061,0.889164815
31,0.103123775,0.728744939,0.271255061,0.896876225
32,0.150176448,0.817813765,0.182186235,0.849823552
33,0.147170305,0.811740891,0.188259109,0.852829695
34,0.150829957,0.814777328,0.185222672,0.849170043
35,0.132793099,0.770242915,0.229757085,0.867206901
36,0.097764998,0.708502024,0.291497976,0.902235002
37,0.152006274,0.826923077,0.173076923,0.847993726
38,0.128610639,0.776315789,0.223684211,0.871389361
39,0.136322049,0.815789474,0.184210526,0.863677951
40,0.167559796,0.848178138,0.151821862,0.832440204
41,0.176447523,0.854251012,0.145748988,0.823552477
42,0.136060646,0.811740891,0.188259109,0.863939354
43,0.124166776,0.771255061,0.228744939,0.875833224
44,0.109397464,0.743927126,0.256072874,0.890602536
45,0.161808914,0.848178138,0.151821862,0.838191086
46,0.132400993,0.79757085,0.20242915,0.867599007
47,0.143902758,0.814777328,0.185222672,0.856097242
48,0.127565024,0.777327935,0.222672065,0.872434976
49,0.136452751,0.805668016,0.194331984,0.863547249
