,FPR,TPR,FNR,TNR
0,0.062,0.555,0.445,0.938
1,0.12,0.7,0.3,0.88
2,0.093666667,0.641,0.359,0.906333333
3,0.132,0.714,0.286,0.868
4,0.111666667,0.644,0.356,0.888333333
5,0.117666667,0.667,0.333,0.882333333
6,0.097666667,0.637,0.363,0.902333333
7,0.089666667,0.613,0.387,0.910333333
8,0.069,0.617,0.383,0.931
9,0.124333333,0.661,0.339,0.875666667
10,0.108333333,0.639,0.361,0.891666667
11,0.059,0.521,0.479,0.941
12,0.090333333,0.632,0.368,0.909666667
13,0.147666667,0.738,0.262,0.852333333
14,0.079333333,0.56,0.44,0.920666667
15,0.085333333,0.61,0.39,0.914666667
16,0.088666667,0.602,0.398,0.911333333
17,0.151,0.739,0.261,0.849
18,0.090666667,0.612,0.388,0.909333333
19,0.093,0.597,0.403,0.907
20,0.13,0.72,0.28,0.87
21,0.137333333,0.702,0.298,0.862666667
22,0.154333333,0.733,0.267,0.845666667
23,0.156333333,0.752,0.248,0.843666667
24,0.099,0.659,0.341,0.901
25,0.154,0.693,0.307,0.846
26,0.107,0.649,0.351,0.893
27,0.081666667,0.591,0.409,0.918333333
28,0.134666667,0.703,0.297,0.865333333
29,0.050666667,0.543,0.457,0.949333333
30,0.088333333,0.595,0.405,0.911666667
31,0.162,0.708,0.292,0.838
32,0.113666667,0.677,0.323,0.886333333
33,0.131666667,0.693,0.307,0.868333333
34,0.125666667,0.725,0.275,0.874333333
35,0.130666667,0.678,0.322,0.869333333
36,0.152666667,0.75,0.25,0.847333333
37,0.063666667,0.577,0.423,0.936333333
38,0.097666667,0.627,0.373,0.902333333
39,0.082,0.612,0.388,0.918
40,0.158666667,0.741,0.259,0.841333333
41,0.143,0.736,0.264,0.857
42,0.145666667,0.683,0.317,0.854333333
43,0.122333333,0.685,0.315,0.877666667
44,0.072,0.55,0.45,0.928
45,0.113333333,0.642,0.358,0.886666667
46,0.127333333,0.704,0.296,0.872666667
47,0.100333333,0.639,0.361,0.899666667
48,0.095666667,0.621,0.379,0.904333333
49,0.039333333,0.465,0.535,0.960666667
0,0.244333333,0.774,0.226,0.755666667
1,0.081333333,0.606,0.394,0.918666667
2,0.293333333,0.807,0.193,0.706666667
3,0.142333333,0.719,0.281,0.857666667
4,0.104666667,0.651,0.349,0.895333333
5,0.152333333,0.713,0.287,0.847666667
6,0.092,0.647,0.353,0.908
7,0.185666667,0.742,0.258,0.814333333
8,0.075,0.581,0.419,0.925
9,0.089333333,0.632,0.368,0.910666667
10,0.045,0.502,0.498,0.955
11,0.093,0.607,0.393,0.907
12,0.171,0.719,0.281,0.829
13,0.201333333,0.72,0.28,0.798666667
14,0.171333333,0.722,0.278,0.828666667
15,0.09,0.621,0.379,0.91
16,0.104,0.642,0.358,0.896
17,0.17,0.75,0.25,0.83
18,0.139333333,0.706,0.294,0.860666667
19,0.151666667,0.721,0.279,0.848333333
20,0.104,0.647,0.353,0.896
21,0.111333333,0.672,0.328,0.888666667
22,0.154333333,0.743,0.257,0.845666667
23,0.137333333,0.697,0.303,0.862666667
24,0.063666667,0.556,0.444,0.936333333
25,0.126,0.625,0.375,0.874
26,0.105,0.662,0.338,0.895
27,0.126333333,0.668,0.332,0.873666667
28,0.134666667,0.686,0.314,0.865333333
29,0.093,0.626,0.374,0.907
30,0.117333333,0.661,0.339,0.882666667
31,0.068,0.591,0.409,0.932
32,0.148,0.7,0.3,0.852
33,0.169666667,0.738,0.262,0.830333333
34,0.161666667,0.693,0.307,0.838333333
35,0.06,0.53,0.47,0.94
36,0.081666667,0.571,0.429,0.918333333
37,0.147666667,0.738,0.262,0.852333333
38,0.114666667,0.705,0.295,0.885333333
39,0.079,0.645,0.355,0.921
40,0.120666667,0.658,0.342,0.879333333
41,0.117,0.659,0.341,0.883
42,0.142333333,0.714,0.286,0.857666667
43,0.102,0.633,0.367,0.898
44,0.141666667,0.71,0.29,0.858333333
45,0.179666667,0.718,0.282,0.820333333
46,0.107333333,0.665,0.335,0.892666667
47,0.089666667,0.619,0.381,0.910333333
48,0.174333333,0.774,0.226,0.825666667
49,0.074666667,0.585,0.415,0.925333333
