,FPR,FNR
0,0.324,0.506
1,0.314,0.504
2,0.292,0.522
3,0.36,0.488
4,0.345,0.484
5,0.303,0.518
6,0.268,0.546
7,0.331,0.492
8,0.361,0.48
9,0.314,0.506
10,0.312,0.534
11,0.4,0.448
12,0.311,0.526
13,0.369,0.486
14,0.338,0.52
15,0.328,0.522
16,0.329,0.526
17,0.35,0.516
18,0.379,0.48
19,0.337,0.518
20,0.309,0.516
21,0.323,0.508
22,0.361,0.47
23,0.296,0.53
24,0.305,0.526
25,0.32,0.508
26,0.322,0.504
27,0.322,0.506
28,0.325,0.502
29,0.328,0.502
30,0.318,0.498
31,0.334,0.488
32,0.348,0.478
33,0.324,0.49
34,0.316,0.496
35,0.324,0.494
36,0.325,0.49
37,0.328,0.484
38,0.348,0.482
39,0.326,0.49
40,0.341,0.494
41,0.316,0.504
42,0.365,0.46
43,0.33,0.486
44,0.372,0.446
45,0.357,0.458
46,0.339,0.484
47,0.316,0.51
48,0.371,0.448
49,0.334,0.49
50,0.314,0.514
51,0.313,0.514
52,0.33,0.496
53,0.328,0.504
54,0.345,0.484
55,0.333,0.496
56,0.325,0.498
57,0.353,0.478
58,0.367,0.47
59,0.298,0.524
60,0.283,0.57
61,0.337,0.514
62,0.356,0.49
63,0.338,0.512
64,0.327,0.522
65,0.361,0.486
66,0.341,0.498
67,0.325,0.534
68,0.31,0.544
69,0.34,0.51
70,0.331,0.482
71,0.359,0.472
72,0.307,0.518
73,0.294,0.53
74,0.338,0.48
75,0.317,0.512
76,0.312,0.51
77,0.329,0.488
78,0.339,0.476
79,0.343,0.484
80,0.314,0.516
81,0.328,0.5
82,0.292,0.532
83,0.339,0.506
84,0.332,0.504
85,0.308,0.514
86,0.294,0.526
87,0.305,0.518
88,0.375,0.48
89,0.284,0.538
90,0.299,0.496
91,0.261,0.546
92,0.264,0.544
93,0.286,0.508
94,0.292,0.506
95,0.283,0.52
96,0.285,0.512
97,0.301,0.488
98,0.281,0.522
99,0.292,0.502
