,FPR,FNR
0,0.379,0.502
1,0.379,0.504
2,0.362,0.516
3,0.355,0.526
4,0.36,0.516
5,0.334,0.532
6,0.391,0.482
7,0.372,0.51
8,0.368,0.506
9,0.348,0.532
10,0.441,0.442
11,0.371,0.494
12,0.38,0.492
13,0.357,0.508
14,0.377,0.484
15,0.395,0.478
16,0.369,0.498
17,0.384,0.482
18,0.384,0.484
19,0.376,0.492
20,0.329,0.512
21,0.294,0.572
22,0.331,0.518
23,0.341,0.488
24,0.332,0.52
25,0.317,0.528
26,0.318,0.53
27,0.321,0.52
28,0.332,0.502
29,0.32,0.526
30,0.308,0.532
31,0.363,0.488
32,0.368,0.482
33,0.328,0.508
34,0.345,0.492
35,0.343,0.502
36,0.33,0.5
37,0.335,0.508
38,0.354,0.478
39,0.349,0.494
40,0.419,0.468
41,0.377,0.5
42,0.416,0.474
43,0.398,0.484
44,0.372,0.502
45,0.403,0.478
46,0.371,0.506
47,0.388,0.49
48,0.387,0.494
49,0.37,0.504
50,0.383,0.482
51,0.353,0.502
52,0.381,0.48
53,0.324,0.54
54,0.327,0.528
55,0.338,0.516
56,0.345,0.518
57,0.362,0.498
58,0.369,0.496
59,0.36,0.494
60,0.375,0.52
61,0.368,0.532
62,0.38,0.512
63,0.388,0.496
64,0.385,0.502
65,0.378,0.524
66,0.374,0.522
67,0.377,0.512
68,0.385,0.494
69,0.376,0.512
70,0.349,0.542
71,0.39,0.492
72,0.359,0.522
73,0.356,0.528
74,0.382,0.498
75,0.368,0.508
76,0.4,0.472
77,0.392,0.472
78,0.379,0.49
79,0.359,0.518
80,0.413,0.486
81,0.39,0.498
82,0.391,0.498
83,0.398,0.49
84,0.359,0.518
85,0.344,0.524
86,0.378,0.506
87,0.353,0.53
88,0.395,0.496
89,0.374,0.51
90,0.369,0.504
91,0.324,0.538
92,0.375,0.502
93,0.301,0.566
94,0.366,0.512
95,0.365,0.5
96,0.329,0.536
97,0.351,0.524
98,0.363,0.512
99,0.367,0.51
